pageid,title,url,revision_id,revision_timestamp,categories,file
604052,Schinzel's hypothesis H,https://en.wikipedia.org/wiki/Schinzel%27s_hypothesis_H,1371087539,2026-08-24T14:12:22Z,Category:Unsolved problems in number theory,pages/604052.wiki
578650,Scholz conjecture,https://en.wikipedia.org/wiki/Scholz_conjecture,1286134739,2025-04-17T23:24:24Z,Category:Unsolved problems in number theory,pages/578650.wiki
361598,Second Hardy–Littlewood conjecture,https://en.wikipedia.org/wiki/Second_Hardy%E2%80%93Littlewood_conjecture,1362216275,2026-07-02T15:45:16Z,Category:Unsolved problems in number theory,pages/361598.wiki
25943365,Serre's conjecture II,https://en.wikipedia.org/wiki/Serre%27s_conjecture_II,1371051116,2026-08-24T08:33:24Z,Category:Unsolved problems in number theory,pages/25943365.wiki
343116,Sexy primes,https://en.wikipedia.org/wiki/Sexy_primes,1375602358,2026-09-18T20:27:56Z,Category:Unsolved problems in number theory,pages/343116.wiki
169570,Sierpiński number,https://en.wikipedia.org/wiki/Sierpi%C5%84ski_number,1374534131,2026-09-12T17:17:42Z,Category:Unsolved problems in number theory,pages/169570.wiki
4374033,Singmaster's conjecture,https://en.wikipedia.org/wiki/Singmaster%27s_conjecture,1371072537,2026-08-24T12:12:21Z,Category:Unsolved problems in number theory,pages/4374033.wiki
52290066,Square-difference-free set,https://en.wikipedia.org/wiki/Square-difference-free_set,1310034092,2025-09-07T09:19:08Z,Category:Unsolved problems in number theory,pages/52290066.wiki
5685631,Stark conjectures,https://en.wikipedia.org/wiki/Stark_conjectures,1365865648,2026-07-24T22:16:29Z,Category:Unsolved problems in number theory,pages/5685631.wiki
70060173,Sum of four cubes problem,https://en.wikipedia.org/wiki/Sum_of_four_cubes_problem,1333139585,2026-01-15T23:21:42Z,Category:Unsolved problems in number theory,pages/70060173.wiki
60187666,Sums of three cubes,https://en.wikipedia.org/wiki/Sums_of_three_cubes,1374533187,2026-09-12T17:11:51Z,Category:Unsolved problems in number theory,pages/60187666.wiki
16911683,Superperfect number,https://en.wikipedia.org/wiki/Superperfect_number,1365374288,2026-07-22T00:33:33Z,Category:Unsolved problems in number theory,pages/16911683.wiki
22965231,Supersingular prime (algebraic number theory),https://en.wikipedia.org/wiki/Supersingular_prime_%28algebraic_number_theory%29,1346640370,2026-04-02T00:44:24Z,Category:Unsolved problems in number theory,pages/22965231.wiki
